C:\Users\alexa\Anaconda3\python.exe C:/Users/alexa/PycharmProjects/HaliteBots/evolver.py
Gen 0, 574 s, max_fitness = 0.26666666666666666 using: {'defensive_action_radius': 28.30257569937152, 'max_response': 8, 'safe_docking_distance': 12.558523744843272, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 13, 'zone_dominance_factor_for_docking': 4.200156937446249, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 82.0, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.8511061898179366, 'own_ship_approach_dist': 0.805601795838218, 'tether_dist': 1.375, 'padding': 0.1387334285094013, 'max_horizon': 12.0}
Gen 11, 3101 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
Gen 12, 6265 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
Gen 13, 2613 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
Gen 14, 4557 s, max_fitness = 0.5857142857142857 using: {'defensive_action_radius': 19.395377110893342, 'max_response': 9, 'safe_docking_distance': 9.320665177043733, 'job_base_benefit': 64.8612888216196, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.6066879237126035, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 3.743388128878532, 'safety_check_radius': 13.40803267077277, 'support_radius': 8.5241431000571, 'attack_superiority_ratio': 0.8899883504395929, 'rush_mode_proximity': 86.79193670027678, 'general_approach_dist': 3.684690347507572, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.3647598876184595, 'own_ship_approach_dist': 0.914510719413829, 'tether_dist': 1.2266549708318575, 'padding': 0.1039237205337192, 'max_horizon': 8.670195239909733}
Gen 15, 4417 s, max_fitness = 0.6714285714285714 using: {'defensive_action_radius': 31.331827497266108, 'max_response': 7, 'safe_docking_distance': 12.5, 'job_base_benefit': 82.32839414375529, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.3095198423009304, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.649072935097587, 'support_radius': 8.0, 'attack_superiority_ratio': 0.7776574044793004, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.462204724408781, 'own_ship_approach_dist': 0.7670123806940149, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 16, 3669 s, max_fitness = 0.6714285714285714 using: {'defensive_action_radius': 31.331827497266108, 'max_response': 7, 'safe_docking_distance': 12.5, 'job_base_benefit': 82.32839414375529, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.3095198423009304, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.649072935097587, 'support_radius': 8.0, 'attack_superiority_ratio': 0.7776574044793004, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.462204724408781, 'own_ship_approach_dist': 0.7670123806940149, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 17, 4466 s, max_fitness = 0.6714285714285714 using: {'defensive_action_radius': 31.331827497266108, 'max_response': 7, 'safe_docking_distance': 12.5, 'job_base_benefit': 82.32839414375529, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.3095198423009304, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.649072935097587, 'support_radius': 8.0, 'attack_superiority_ratio': 0.7776574044793004, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.462204724408781, 'own_ship_approach_dist': 0.7670123806940149, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 18, 4275 s, max_fitness = 0.6714285714285714 using: {'defensive_action_radius': 31.331827497266108, 'max_response': 7, 'safe_docking_distance': 12.5, 'job_base_benefit': 82.32839414375529, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.3095198423009304, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.649072935097587, 'support_radius': 8.0, 'attack_superiority_ratio': 0.7776574044793004, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.462204724408781, 'own_ship_approach_dist': 0.7670123806940149, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 19, 3568 s, max_fitness = 0.6714285714285714 using: {'defensive_action_radius': 31.331827497266108, 'max_response': 7, 'safe_docking_distance': 12.5, 'job_base_benefit': 82.32839414375529, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.3095198423009304, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.649072935097587, 'support_radius': 8.0, 'attack_superiority_ratio': 0.7776574044793004, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.462204724408781, 'own_ship_approach_dist': 0.7670123806940149, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 20, 4404 s, max_fitness = 0.6714285714285714 using: {'defensive_action_radius': 31.331827497266108, 'max_response': 7, 'safe_docking_distance': 12.5, 'job_base_benefit': 82.32839414375529, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.3095198423009304, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.649072935097587, 'support_radius': 8.0, 'attack_superiority_ratio': 0.7776574044793004, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.462204724408781, 'own_ship_approach_dist': 0.7670123806940149, 'tether_dist': 1.375, 'padding': 0.116521697542258, 'max_horizon': 12.0}
Gen 21, 3784 s, max_fitness = 0.7285714285714285 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 11.809661506168586, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.4347205930685871, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.187612204142182, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.7705363228393682, 'tether_dist': 1.1395654337381955, 'padding': 0.12175292377736004, 'max_horizon': 9.872260547125727}
Gen 22, 4315 s, max_fitness = 0.7285714285714285 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 11.809661506168586, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.4347205930685871, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.187612204142182, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.7705363228393682, 'tether_dist': 1.1395654337381955, 'padding': 0.12175292377736004, 'max_horizon': 9.872260547125727}
Gen 23, 4134 s, max_fitness = 0.7285714285714285 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 11.809661506168586, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.4347205930685871, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.187612204142182, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.7705363228393682, 'tether_dist': 1.1395654337381955, 'padding': 0.12175292377736004, 'max_horizon': 9.872260547125727}
Gen 24, 3914 s, max_fitness = 0.7285714285714285 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 11.809661506168586, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.4347205930685871, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.187612204142182, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.7705363228393682, 'tether_dist': 1.1395654337381955, 'padding': 0.12175292377736004, 'max_horizon': 9.872260547125727}
Gen 25, 3830 s, max_fitness = 0.7285714285714285 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 11.809661506168586, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.4347205930685871, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.187612204142182, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.7705363228393682, 'tether_dist': 1.1395654337381955, 'padding': 0.12175292377736004, 'max_horizon': 9.872260547125727}
Gen 26, 3090 s, max_fitness = 0.7285714285714285 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 11.809661506168586, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.4347205930685871, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.187612204142182, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.7705363228393682, 'tether_dist': 1.1395654337381955, 'padding': 0.12175292377736004, 'max_horizon': 9.872260547125727}
Gen 27, 3989 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 28, 4052 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 29, 4137 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 30, 2506 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 31, 4212 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 32, 4140 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
